month,average_price
2015-01,50.93226051923955
2015-02,46.43629716016041
2015-03,24.08382023568398
2015-04,25.509141574517376
2015-05,25.772543699252907
2015-06,21.109015055005287
2015-07,18.746336744542862
2015-08,12.88900119652823
2015-09,9.937852465894514
2015-10,11.340333784524718
2015-11,17.513960702967474
2015-12,18.128095599687946
2016-01,22.384773106523344
2016-02,20.604056432087006
2016-03,19.946208035678495
2016-04,15.148174328380305
2016-05,12.812182207333166
2016-06,18.837262849557433
2016-07,30.065551544445757
2016-08,24.83011047967808
2016-09,21.26022481402019
2016-10,21.385394504427857
2016-11,18.75078501368243
2016-12,17.54593181416208
2017-01,13.195916179457452
2017-02,10.607498928277844
2017-03,11.78733197357062
2017-04,9.077708909798265
2017-05,7.730022424715964
2017-06,6.902704515726672
2017-07,6.9039489802422
2017-08,8.069054566806416
2017-09,4.014165407955453
2017-10,2.1717398441797684
2017-11,1.6197018755550532
2017-12,1.8322878443534043
2018-01,1.5902278091236501
2018-02,1.2168097360208456
2018-03,0.9924237539330182
2018-04,0.10675216841190031
2018-05,-0.8787594122761869
2018-06,-1.064920086363652
2018-07,-0.7894894201028501
2018-08,-0.6867632104247503
2018-09,-0.5799218227265348
2018-10,-0.6406093986072459
2018-11,-0.8986519572001067
2018-12,-0.8900080671994013
2019-01,-0.534393832204155
2019-02,-1.8735048155942071
2019-03,-2.6354406965660626
2019-04,-3.220115814894041
2019-05,-4.154417881345055
2019-06,-6.079073667998232
2019-07,-5.49701023316791
2019-08,-4.499013903737611
2019-09,-4.941751303215499
2019-10,-4.690937387198402
2019-11,-3.366258123525778
2019-12,-2.841416884907023
